ALGORITHM,START,END,TYPE,COMPANY,ERROR
ARIMA,2010-06-01,2015-06-01,RMSE,AAPL,0.48161593527303886
ARIMA,2010-06-01,2015-06-01,MAPE,AAPL,0.011168892387081625
ARIMA,2011-01-01,2016-01-01,RMSE,AAPL,0.3269992522398717
ARIMA,2011-01-01,2016-01-01,MAPE,AAPL,0.007181111622922834
ARIMA,2011-06-01,2016-06-01,RMSE,AAPL,0.30310190325822634
ARIMA,2011-06-01,2016-06-01,MAPE,AAPL,0.006048136002073559
ARIMA,2012-01-01,2017-01-01,RMSE,AAPL,0.41958886817609764
ARIMA,2012-01-01,2017-01-01,MAPE,AAPL,0.006271853996681284
ARIMA,2012-06-01,2017-06-01,RMSE,AAPL,0.5381921210728362
ARIMA,2012-06-01,2017-06-01,MAPE,AAPL,0.008014215054433423
ARIMA,2013-01-01,2018-01-01,RMSE,AAPL,0.7637710245199585
ARIMA,2013-01-01,2018-01-01,MAPE,AAPL,0.010439580837094828
ARIMA,2013-06-01,2018-06-01,RMSE,AAPL,0.7921965479522455
ARIMA,2013-06-01,2018-06-01,MAPE,AAPL,0.011015361240793777
ARIMA,2014-01-01,2019-01-01,RMSE,AAPL,0.658236921176176
ARIMA,2014-01-01,2019-01-01,MAPE,AAPL,0.007997218486792189
ARIMA,2014-06-01,2019-06-01,RMSE,AAPL,1.4996264537233408
ARIMA,2014-06-01,2019-06-01,MAPE,AAPL,0.012787820334813925
ARIMA,2010-06-01,2015-06-01,RMSE,AMZN,11.40540388261288
ARIMA,2010-06-01,2015-06-01,MAPE,AMZN,0.01242426190916056
ARIMA,2011-01-01,2016-01-01,RMSE,AMZN,9.185247733587278
ARIMA,2011-01-01,2016-01-01,MAPE,AMZN,0.007747842777205445
ARIMA,2011-06-01,2016-06-01,RMSE,AMZN,9.121675274304874
ARIMA,2011-06-01,2016-06-01,MAPE,AMZN,0.007032380351835686
ARIMA,2012-01-01,2017-01-01,RMSE,AMZN,12.413972945187412
ARIMA,2012-01-01,2017-01-01,MAPE,AMZN,0.007198737700649864
ARIMA,2012-06-01,2017-06-01,RMSE,AMZN,23.483314510194663
ARIMA,2012-06-01,2017-06-01,MAPE,AMZN,0.009683376246232734
ARIMA,2013-01-01,2018-01-01,RMSE,AMZN,37.089340324532195
ARIMA,2013-01-01,2018-01-01,MAPE,AMZN,0.013506072355369216
ARIMA,2013-06-01,2018-06-01,RMSE,AMZN,36.4412318833639
ARIMA,2013-06-01,2018-06-01,MAPE,AMZN,0.01363215017524954
ARIMA,2014-01-01,2019-01-01,RMSE,AMZN,20.618149446583118
ARIMA,2014-01-01,2019-01-01,MAPE,AMZN,0.007602153154312623
ARIMA,2014-06-01,2019-06-01,RMSE,AMZN,39.23564838434729
ARIMA,2014-06-01,2019-06-01,MAPE,AMZN,0.011708713778668086
ARIMA,2010-06-01,2015-06-01,RMSE,FB,2.166481303629393
ARIMA,2010-06-01,2015-06-01,MAPE,FB,0.012203845723899924
ARIMA,2011-01-01,2016-01-01,RMSE,FB,1.55025470255533
ARIMA,2011-01-01,2016-01-01,MAPE,FB,0.007471249056760455
ARIMA,2011-06-01,2016-06-01,RMSE,FB,1.3484710182977206
ARIMA,2011-06-01,2016-06-01,MAPE,FB,0.0064959335311524005
ARIMA,2012-01-01,2017-01-01,RMSE,FB,1.6963679338838167
ARIMA,2012-01-01,2017-01-01,MAPE,FB,0.0064966580661966955
ARIMA,2012-06-01,2017-06-01,RMSE,FB,2.636329952044395
ARIMA,2012-06-01,2017-06-01,MAPE,FB,0.00951531641327064
ARIMA,2013-01-01,2018-01-01,RMSE,FB,4.067360706613488
ARIMA,2013-01-01,2018-01-01,MAPE,FB,0.013392114438392553
ARIMA,2013-06-01,2018-06-01,RMSE,FB,3.177954611667436
ARIMA,2013-06-01,2018-06-01,MAPE,FB,0.01265632527461433
ARIMA,2014-01-01,2019-01-01,RMSE,FB,2.6963708053679207
ARIMA,2014-01-01,2019-01-01,MAPE,FB,0.009447965257324453
ARIMA,2014-06-01,2019-06-01,RMSE,FB,3.95057427437402
ARIMA,2014-06-01,2019-06-01,MAPE,FB,0.01288628839927989
ARIMA,2010-06-01,2015-06-01,RMSE,GOOG,11.643611719254706
ARIMA,2010-06-01,2015-06-01,MAPE,GOOG,0.009915322152708267
ARIMA,2011-01-01,2016-01-01,RMSE,GOOG,7.267324650187035
ARIMA,2011-01-01,2016-01-01,MAPE,GOOG,0.0062650191275604224
ARIMA,2011-06-01,2016-06-01,RMSE,GOOG,7.042446152278415
ARIMA,2011-06-01,2016-06-01,MAPE,GOOG,0.005524920935630269
ARIMA,2012-01-01,2017-01-01,RMSE,GOOG,8.469307022455608
ARIMA,2012-01-01,2017-01-01,MAPE,GOOG,0.0056705353961270955
ARIMA,2012-06-01,2017-06-01,RMSE,GOOG,14.46888129444833
ARIMA,2012-06-01,2017-06-01,MAPE,GOOG,0.008356890788070937
ARIMA,2013-01-01,2018-01-01,RMSE,GOOG,17.803729681139
ARIMA,2013-01-01,2018-01-01,MAPE,GOOG,0.010704341278531437
ARIMA,2013-06-01,2018-06-01,RMSE,GOOG,17.721512916164556
ARIMA,2013-06-01,2018-06-01,MAPE,GOOG,0.010471741940910119
ARIMA,2014-01-01,2019-01-01,RMSE,GOOG,13.858757778190446
ARIMA,2014-01-01,2019-01-01,MAPE,GOOG,0.007239073296591831
ARIMA,2014-06-01,2019-06-01,RMSE,GOOG,23.39772582352754
ARIMA,2014-06-01,2019-06-01,MAPE,GOOG,0.01094329559852
ARIMA,2010-06-01,2015-06-01,RMSE,MSFT,0.8042898319322418
ARIMA,2010-06-01,2015-06-01,MAPE,MSFT,0.009979827868252114
ARIMA,2011-01-01,2016-01-01,RMSE,MSFT,0.5944389311127241
ARIMA,2011-01-01,2016-01-01,MAPE,MSFT,0.0063124768279147385
ARIMA,2011-06-01,2016-06-01,RMSE,MSFT,0.516104973084001
ARIMA,2011-06-01,2016-06-01,MAPE,MSFT,0.005250968947448291
ARIMA,2012-01-01,2017-01-01,RMSE,MSFT,0.6799317638966695
ARIMA,2012-01-01,2017-01-01,MAPE,MSFT,0.0054151757554121134
ARIMA,2012-06-01,2017-06-01,RMSE,MSFT,1.1480891170846834
ARIMA,2012-06-01,2017-06-01,MAPE,MSFT,0.0077222267353665806
ARIMA,2013-01-01,2018-01-01,RMSE,MSFT,1.5010159707430426
ARIMA,2013-01-01,2018-01-01,MAPE,MSFT,0.00937682171443774
ARIMA,2013-06-01,2018-06-01,RMSE,MSFT,1.5035068223859132
ARIMA,2013-06-01,2018-06-01,MAPE,MSFT,0.008843810249022241
ARIMA,2014-01-01,2019-01-01,RMSE,MSFT,1.362381688377962
ARIMA,2014-01-01,2019-01-01,MAPE,MSFT,0.0066337943459016295
ARIMA,2014-06-01,2019-06-01,RMSE,MSFT,3.227150558196578
ARIMA,2014-06-01,2019-06-01,MAPE,MSFT,0.012110086564072161
