ALGORITHM,TYPE,COMPANY,ERROR
ARIMA,RMSE,AAPL,0.763771025
ARIMA,MAPE,AAPL,0.010439581
ARIMA,RMSE,AMZN,37.08934032
ARIMA,MAPE,AMZN,0.013506072
ARIMA,RMSE,FB,4.067360707
ARIMA,MAPE,FB,0.013392114
ARIMA,RMSE,GOOG,17.80372968
ARIMA,MAPE,GOOG,0.010704341
ARIMA,RMSE,MSFT,1.501015971
ARIMA,MAPE,MSFT,0.009376822
LSTM,RMSE,AAPL,0.597187039
LSTM,MAPE,AAPL,0.008623328
LSTM,RMSE,AMZN,44.99295132
LSTM,MAPE,AMZN,0.019136105
LSTM,RMSE,FB,4.56354567
LSTM,MAPE,FB,0.016731056
LSTM,RMSE,GOOG,15.43852309
LSTM,MAPE,GOOG,0.010509229
LSTM,RMSE,MSFT,1.701850179
LSTM,MAPE,MSFT,0.012566363
